Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antigua and Barbuda,ATG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.36285413,41.57388049,41.7521317,41.85917985,42.2770709,42.69103116,42.88022644,43.01424534,43.17754284,43.36027231,43.83816636,44.16559655,44.27080137,44.64137797,44.53606371,44.87858234,45.03460322,45.13119813,45.24536077,45.39932412,45.31956518,45.5026696,45.62619112,45.73339174,45.91906082,46.1133827,46.42030669,46.60978314,46.79226068,46.90046964,46.97199208,47.23170277,47.46562299,47.40741489,47.66596152,47.68334073
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.92640127,41.03358225,41.63271548,41.92545047,42.99726628,43.35713073,43.29486876,43.4912001,43.73956121,43.73564952,43.79136687,44.01573821,44.47304944,44.4867937,45.12352919,45.46535977,45.63101917,45.67608511,45.90443183,46.25736498,46.36548034,46.56367243,46.72008594,46.77407468,46.89334904,46.77355243,46.73771268,46.72836817,46.58233413,46.66068824,46.81904094,46.71299579,46.79685977,46.9103936,46.81884743,46.80233486
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.03604308,49.07009377,49.07066916,49.20469764,49.51309286,49.9037889,50.16704444,50.42029339,50.66914442,50.81588201,50.75650789,50.77622618,51.08277821,50.74066784,50.68377079,50.69642181,50.49318949,48.78038826,49.51874724,50.8007389,52.35702433,51.73875665,51.20321318,51.04104325,51.04989434,51.088317,50.82563108,50.39804683,50.19841134,50.02986643,50.01260121,50.10526727,50.00825158,49.94372916,49.91420565,49.85592124
Burundi,BDI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,51.80990226,51.82028178,51.80869279,52.00801284,52.0644622,51.91512781,51.99220061,52.06360817,52.05858175,51.99985544,51.95283813,51.89039746,51.79374441,51.65316568,51.4624169,51.2369058,50.9742588,51.18024848,51.35101231,51.46715898,51.5714037,51.68716862,51.77935277,51.84920466,51.90988926,51.7560855,51.62575799,51.56352667,51.56423014,51.61766029,50.87773064,51.75434262,51.58095537,51.59146056,51.61827012,51.61344425
Belgium,BEL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.03049176,39.8037803,40.40160942,41.03714637,41.13127641,41.3602339,41.50443539,41.88223231,42.2433985,42.91912,43.07225189,42.43148224,42.8753343,43.10876385,43.82304121,44.1637069,44.43019585,44.69509728,44.9631206,45.12092287,45.27890621,45.33746969,45.34348397,45.7109102,46.04561899,46.09424774,46.00518239,46.00594562,46.4550892,46.53707224,46.52784391,46.63284404,46.82590814,46.77299613,46.75950706,46.77744687
Benin,BEN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.45920522,41.40302542,41.34911846,41.80642525,42.30225334,42.8615151,43.40479726,43.9456838,44.5022513,45.08051514,45.67802263,46.29316901,46.92787584,47.18082734,47.43319513,47.72331234,48.00794372,48.25512764,48.50545,48.76168629,49.02134225,49.28541195,49.36331636,49.43633552,49.50820435,49.57983567,49.65400296,49.72959144,49.80576779,49.88264141,49.55552233,49.44744205,49.20019714,49.28687491,49.38649931,49.42768237
Burkina Faso,BFA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.26277185,49.27553434,49.31965383,49.3437849,49.34886213,49.33871341,49.33495355,49.3234797,49.25093088,49.12775859,48.9965352,48.85317316,48.70101156,48.54991568,48.40354509,48.27096164,48.16909735,48.11152212,48.09217621,48.08365395,48.07354202,48.05465618,48.01431651,47.97220022,47.92673077,47.86896836,47.80282789,47.7343254,47.68046197,47.6370686,47.10107694,46.59697558,46.03658908,46.27423673,46.55428864,46.52352078
Bangladesh,BGD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,20.74511596,21.00826594,21.315428,21.66531171,22.04574394,22.45753492,22.886069,23.28299293,23.62420717,23.9255867,24.1938741,24.4065737,24.57270312,24.72652927,24.88198601,25.04520892,25.19638633,26.57610024,28.00080778,29.46606632,30.96696453,30.69600768,30.39915253,30.0967735,30.32224963,30.55281985,30.78867998,32.44259727,33.32213963,34.13234744,34.85152849,35.71156734,36.54704716,35.61722339,34.02876468,34.01823947
Bulgaria,BGR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.76318467,45.74809011,45.75537246,45.79564737,45.83894103,45.88377918,45.93247048,45.87548352,45.90998172,45.89990949,45.90180464,46.92877667,46.94252318,46.31601071,46.49802103,46.12666973,46.5466416,46.49927501,46.18597459,46.0119304,46.28719926,46.51051724,46.6934597,46.58915954,46.45128566,46.5956811,46.15807961,46.47514716,46.18546636,46.23969422,46.12031781,46.24997283,46.64592237,46.73384132,46.7560086,46.79103941
